city,city_ascii,lat,lon,country,iso2,iso3,admin_name,capital,population,id,csafp,csa_name,csa_name_short,cbsafp,cbsa_name,cbsa_name_short,geometry,type,location_id,name,name_short
Malishevë,Malisheve,42.4822,20.7458,Kosovo,XK,XKS,Malishevë,admin,NA,1901597212,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901597212,Malishevë,Malishevë
Prizren,Prizren,42.2139,20.7397,Kosovo,XK,XKS,Prizren,admin,NA,1901360309,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901360309,Prizren,Prizren
Zubin Potok,Zubin Potok,42.9144,20.6897,Kosovo,XK,XKS,Zubin Potok,admin,NA,1901608808,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901608808,Zubin Potok,Zubin Potok
Kamenicë,Kamenice,42.5781,21.5803,Kosovo,XK,XKS,Kamenicë,admin,NA,1901851592,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901851592,Kamenicë,Kamenicë
Viti,Viti,42.3214,21.3583,Kosovo,XK,XKS,Viti,admin,NA,1901328795,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901328795,Viti,Viti
Shtërpcë,Shterpce,42.2394,21.0272,Kosovo,XK,XKS,Shtërpcë,admin,NA,1901828239,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901828239,Shtërpcë,Shtërpcë
Shtime,Shtime,42.4331,21.0397,Kosovo,XK,XKS,Shtime,admin,NA,1901598505,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901598505,Shtime,Shtime
Vushtrri,Vushtrri,42.8231,20.9675,Kosovo,XK,XKS,Vushtrri,admin,NA,1901107642,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901107642,Vushtrri,Vushtrri
Dragash,Dragash,42.0265,20.6533,Kosovo,XK,XKS,Dragash,admin,NA,1901112530,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901112530,Dragash,Dragash
Podujevë,Podujeve,42.9111,21.1899,Kosovo,XK,XKS,Podujevë,admin,NA,1901550082,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901550082,Podujevë,Podujevë
