city,city_ascii,lat,lon,country,iso2,iso3,admin_name,capital,population,id,csafp,csa_name,csa_name_short,cbsafp,cbsa_name,cbsa_name_short,geometry,type,location_id,name,name_short
Fushë Kosovë,Fushe Kosove,42.6639,21.0961,Kosovo,XK,XKS,Fushë Kosovë,admin,NA,1901134407,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901134407,Fushë Kosovë,Fushë Kosovë
Kaçanik,Kacanik,42.2319,21.2594,Kosovo,XK,XKS,Kaçanik,admin,NA,1901200321,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901200321,Kaçanik,Kaçanik
Klinë,Kline,42.6217,20.5778,Kosovo,XK,XKS,Klinë,admin,NA,1901230162,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901230162,Klinë,Klinë
Leposaviq,Leposaviq,43.1039,20.8028,Kosovo,XK,XKS,Leposaviq,admin,NA,1901974597,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901974597,Leposaviq,Leposaviq
Pejë,Peje,42.66,20.2922,Kosovo,XK,XKS,Pejë,admin,NA,1901339694,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901339694,Pejë,Pejë
Rahovec,Rahovec,42.3994,20.6547,Kosovo,XK,XKS,Rahovec,admin,NA,1901336358,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901336358,Rahovec,Rahovec
Gjilan,Gjilan,42.4689,21.4633,Kosovo,XK,XKS,Gjilan,admin,NA,1901235642,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901235642,Gjilan,Gjilan
Lipjan,Lipjan,42.5217,21.1258,Kosovo,XK,XKS,Lipjan,admin,NA,1901682048,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901682048,Lipjan,Lipjan
Obiliq,Obiliq,42.6869,21.0703,Kosovo,XK,XKS,Obiliq,admin,NA,1901102771,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901102771,Obiliq,Obiliq
Gjakovë,Gjakove,42.3803,20.4308,Kosovo,XK,XKS,Gjakovë,admin,NA,1901089874,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901089874,Gjakovë,Gjakovë
Pristina,Pristina,42.6666,21.1724,Kosovo,XK,XKS,Prishtinë,primary,NA,1901760068,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901760068,Pristina,Pristina
Deçan,Decan,42.5378,20.2911,Kosovo,XK,XKS,Deçan,admin,NA,1901189818,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901189818,Deçan,Deçan
Istog,Istog,42.7808,20.4875,Kosovo,XK,XKS,Istog,admin,NA,1901248770,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901248770,Istog,Istog
Hani i Elezit,Hani i Elezit,42.15,21.2967,Kosovo,XK,XKS,Hani i Elezit,admin,NA,1901964789,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901964789,Hani i Elezit,Hani i Elezit
Junik,Junik,42.4758,20.2772,Kosovo,XK,XKS,Junik,admin,NA,1901930204,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901930204,Junik,Junik
Kllokot,Kllokot,42.3714,21.3744,Kosovo,XK,XKS,Kllokot,admin,NA,1901445768,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901445768,Kllokot,Kllokot
Mamushë,Mamushe,42.3308,20.7269,Kosovo,XK,XKS,Mamushë,admin,NA,1901042958,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901042958,Mamushë,Mamushë
Partesh,Partesh,42.4019,21.4336,Kosovo,XK,XKS,Partesh,admin,NA,1901909986,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901909986,Partesh,Partesh
Ranillug,Ranillug,42.4922,21.5989,Kosovo,XK,XKS,Ranillug,admin,NA,1901029901,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901029901,Ranillug,Ranillug
Ferizaj,Ferizaj,42.3706,21.1553,Kosovo,XK,XKS,Ferizaj,admin,NA,1901875540,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901875540,Ferizaj,Ferizaj
Zveçan,Zvecan,42.9075,20.8403,Kosovo,XK,XKS,Zveçan,admin,NA,1901208362,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901208362,Zveçan,Zveçan
Suharekë,Suhareke,42.3586,20.825,Kosovo,XK,XKS,Suharekë,admin,NA,1901918563,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901918563,Suharekë,Suharekë
Gllogovc,Gllogovc,42.6283,20.8939,Kosovo,XK,XKS,Gllogovc,admin,NA,1901031751,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901031751,Gllogovc,Gllogovc
Mitrovicë,Mitrovice,42.8833,20.8667,Kosovo,XK,XKS,NA,admin,NA,1901138430,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901138430,Mitrovicë,Mitrovicë
Skenderaj,Skenderaj,42.7467,20.7886,Kosovo,XK,XKS,Skenderaj ,admin,NA,1901259570,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901259570,Skenderaj,Skenderaj
Novobërdë,Novoberde,42.6178,21.4197,Kosovo,XK,XKS,Novobërdë,admin,NA,1901684676,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901684676,Novobërdë,Novobërdë
Graçanicë,Gracanice,42.6011,21.1958,Kosovo,XK,XKS,Graçanicë,admin,NA,1901753443,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1901753443,Graçanicë,Graçanicë
Longyearbyen,Longyearbyen,78.2167,15.6333,Svalbard,XR,XSV,NA,primary,NA,1930654114,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1930654114,Longyearbyen,Longyearbyen
Sanaa,Sanaa,15.3547,44.2066,Yemen,YE,YEM,Amānat al ‘Āşimah,primary,2008000,1887750814,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887750814,Sanaa,Sanaa
Marib,Marib,15.421,45.334,Yemen,YE,YEM,Ma’rib,admin,16794,1887153216,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887153216,Marib,Marib
Al Jabīn,Al Jabin,14.704,43.599,Yemen,YE,YEM,Raymah,admin,NA,1887910100,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887910100,Al Jabīn,Al Jabīn
Hajjah,Hajjah,15.6917,43.6021,Yemen,YE,YEM,Ḩajjah,admin,208287,1887522445,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887522445,Hajjah,Hajjah
Ibb,Ibb,13.9759,44.1709,Yemen,YE,YEM,Ibb,admin,234837,1887321491,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887321491,Ibb,Ibb
Al Hudaydah,Al Hudaydah,14.7979,42.953,Yemen,YE,YEM,Al Ḩudaydah,admin,780000,1887984890,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887984890,Al Hudaydah,Al Hudaydah
Lahij,Lahij,13.0582,44.8838,Yemen,YE,YEM,Laḩij,admin,66288,1887871834,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887871834,Lahij,Lahij
Al Maḩwīt,Al Mahwit,15.4701,43.5448,Yemen,YE,YEM,Al Maḩwīt,admin,NA,1887764813,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887764813,Al Maḩwīt,Al Maḩwīt
Taizz,Taizz,13.6045,44.0394,Yemen,YE,YEM,Ta‘izz,admin,751000,1887324526,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887324526,Taizz,Taizz
Sadah,Sadah,16.9398,43.8498,Yemen,YE,YEM,Şa‘dah,admin,105542,1887513055,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887513055,Sadah,Sadah
Dhamar,Dhamar,14.5575,44.3875,Yemen,YE,YEM,Dhamār,admin,191259,1887135215,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887135215,Dhamar,Dhamar
‘Amrān,`Amran,15.6594,43.9439,Yemen,YE,YEM,‘Amrān,admin,NA,1887433410,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887433410,‘Amrān,‘Amrān
Aḑ Ḑāli‘,Ad Dali`,13.6957,44.7314,Yemen,YE,YEM,Aḑ Ḑāli‘,admin,NA,1887607369,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887607369,Aḑ Ḑāli‘,Aḑ Ḑāli‘
Saywun,Saywun,15.943,48.7873,Yemen,YE,YEM,Ḩaḑramawt,minor,68747,1887142998,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887142998,Saywun,Saywun
Al Bayda,Al Bayda,13.979,45.574,Yemen,YE,YEM,Al Bayḑā’,admin,37821,1887788283,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887788283,Al Bayda,Al Bayda
Zinjibār,Zinjibar,13.1287,45.3807,Yemen,YE,YEM,Abyan,admin,NA,1887645956,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887645956,Zinjibār,Zinjibār
Rida,Rida,14.4295,44.8341,Yemen,YE,YEM,Al Bayḑā’,minor,45233,1887090855,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887090855,Rida,Rida
'Ataq,'Ataq,14.55,46.8,Yemen,YE,YEM,Shabwah,admin,37315,1887172893,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887172893,'Ataq,'Ataq
Al Ghaydah,Al Ghaydah,16.2394,52.1638,Yemen,YE,YEM,Al Mahrah,admin,27404,1887000479,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887000479,Al Ghaydah,Al Ghaydah
Sayhut,Sayhut,15.2105,51.2454,Yemen,YE,YEM,Al Mahrah,minor,189,1887613470,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887613470,Sayhut,Sayhut
Al Mukalla,Al Mukalla,14.5412,49.1259,Yemen,YE,YEM,Ḩaḑramawt,admin,258132,1887202594,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887202594,Al Mukalla,Al Mukalla
Al Ḩazm,Al Hazm,16.1641,44.7769,Yemen,YE,YEM,Al Jawf,admin,NA,1887549671,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887549671,Al Ḩazm,Al Ḩazm
Zabīd,Zabid,14.1951,43.3155,Yemen,YE,YEM,Al Ḩudaydah,minor,152504,1887877995,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887877995,Zabīd,Zabīd
Aden,Aden,12.7797,45.0095,Yemen,YE,YEM,‘Adan,admin,1000000,1887867886,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887867886,Aden,Aden
Hadiboh,Hadiboh,12.6519,54.0239,Yemen,YE,YEM,Arkhabīl Suquţrá,admin,11396,1887452377,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887452377,Hadiboh,Hadiboh
Ash Shihr,Ash Shihr,14.7593,49.6092,Yemen,YE,YEM,Ḩaḑramawt,minor,54274,1887657562,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1887657562,Ash Shihr,Ash Shihr
Dzaoudzi,Dzaoudzi,-12.7871,45.275,Mayotte,YT,MYT,NA,admin,32057,1175099654,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1175099654,Dzaoudzi,Dzaoudzi
Pretoria,Pretoria,-25.7069,28.2294,South Africa,ZA,ZAF,Gauteng,primary,1338000,1710176249,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710176249,Pretoria,Pretoria
Lebowakgomo,Lebowakgomo,-24.1996,29.5,South Africa,ZA,ZAF,Limpopo,NA,33308,1710999076,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710999076,Lebowakgomo,Lebowakgomo
Potchefstroom,Potchefstroom,-26.6996,27.1,South Africa,ZA,ZAF,North West,NA,123669,1710838885,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710838885,Potchefstroom,Potchefstroom
Graaff Reinet,Graaff Reinet,-32.3,24.54,South Africa,ZA,ZAF,Eastern Cape,NA,62896,1710616617,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710616617,Graaff Reinet,Graaff Reinet
Rustenburg,Rustenburg,-25.65,27.24,South Africa,ZA,ZAF,North West,NA,165976,1710326039,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710326039,Rustenburg,Rustenburg
Brandfort,Brandfort,-28.6996,26.47,South Africa,ZA,ZAF,Free State,NA,12091,1710953731,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710953731,Brandfort,Brandfort
Vryheid,Vryheid,-27.76,30.79,South Africa,ZA,ZAF,KwaZulu-Natal,NA,150012,1710716158,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710716158,Vryheid,Vryheid
Vereeniging,Vereeniging,-26.6496,27.96,South Africa,ZA,ZAF,Gauteng,NA,1074000,1710271883,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710271883,Vereeniging,Vereeniging
Brits,Brits,-25.6296,27.78,South Africa,ZA,ZAF,North West,NA,122497,1710468143,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710468143,Brits,Brits
Bethlehem,Bethlehem,-28.2196,28.3,South Africa,ZA,ZAF,Free State,NA,83654,1710750307,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710750307,Bethlehem,Bethlehem
Ubomba,Ubomba,-27.5661,32.0833,South Africa,ZA,ZAF,KwaZulu-Natal,NA,564,1710203500,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710203500,Ubomba,Ubomba
Polokwane,Polokwane,-23.89,29.45,South Africa,ZA,ZAF,Limpopo,admin,220045,1710908010,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710908010,Polokwane,Polokwane
Springbok,Springbok,-29.6667,17.8833,South Africa,ZA,ZAF,Northern Cape,NA,10438,1710894218,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710894218,Springbok,Springbok
Thohoyandou,Thohoyandou,-22.95,30.48,South Africa,ZA,ZAF,Limpopo,NA,269707,1710219075,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710219075,Thohoyandou,Thohoyandou
Pietermaritzburg,Pietermaritzburg,-29.61,30.39,South Africa,ZA,ZAF,KwaZulu-Natal,admin,750845,1710690280,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710690280,Pietermaritzburg,Pietermaritzburg
Poffader,Poffader,-29.1329,19.3834,South Africa,ZA,ZAF,Northern Cape,NA,4220,1710817164,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710817164,Poffader,Poffader
Carnarvon,Carnarvon,-30.9496,22.1333,South Africa,ZA,ZAF,Northern Cape,NA,5785,1710331786,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710331786,Carnarvon,Carnarvon
Kroonstad,Kroonstad,-27.66,27.21,South Africa,ZA,ZAF,Free State,NA,103992,1710508288,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710508288,Kroonstad,Kroonstad
Alexander Bay,Alexander Bay,-28.6083,16.5033,South Africa,ZA,ZAF,Northern Cape,NA,1500,1710616152,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710616152,Alexander Bay,Alexander Bay
Bloemhof,Bloemhof,-27.6496,25.59,South Africa,ZA,ZAF,North West,NA,17122,1710321800,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710321800,Bloemhof,Bloemhof
Hermanus,Hermanus,-34.4096,19.2299,South Africa,ZA,ZAF,Western Cape,NA,25153,1710409701,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710409701,Hermanus,Hermanus
Bethal,Bethal,-26.4696,29.45,South Africa,ZA,ZAF,Mpumalanga,NA,101919,1710328253,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710328253,Bethal,Bethal
Upington,Upington,-28.46,21.23,South Africa,ZA,ZAF,Northern Cape,NA,71373,1710210449,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710210449,Upington,Upington
Tzaneen,Tzaneen,-23.8195,30.17,South Africa,ZA,ZAF,Limpopo,NA,67245,1710120942,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710120942,Tzaneen,Tzaneen
Vanhynsdorp,Vanhynsdorp,-31.6166,18.7333,South Africa,ZA,ZAF,Western Cape,NA,3331,1710187274,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710187274,Vanhynsdorp,Vanhynsdorp
Musina,Musina,-22.34,30.03,South Africa,ZA,ZAF,Limpopo,NA,20191,1710956370,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710956370,Musina,Musina
Kimberley,Kimberley,-28.7468,24.77,South Africa,ZA,ZAF,Northern Cape,admin,165264,1710282622,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710282622,Kimberley,Kimberley
Durban,Durban,-29.865,30.98,South Africa,ZA,ZAF,KwaZulu-Natal,NA,2729000,1710149138,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710149138,Durban,Durban
Klerksdorp,Klerksdorp,-26.88,26.62,South Africa,ZA,ZAF,North West,NA,178921,1710416691,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710416691,Klerksdorp,Klerksdorp
Welkom,Welkom,-27.97,26.73,South Africa,ZA,ZAF,Free State,NA,431944,1710480365,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710480365,Welkom,Welkom
De Aar,De Aar,-30.65,24,South Africa,ZA,ZAF,Northern Cape,NA,32318,1710551900,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710551900,De Aar,De Aar
Prieska,Prieska,-29.6595,22.73,South Africa,ZA,ZAF,Northern Cape,NA,11236,1710649877,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710649877,Prieska,Prieska
Saldanha,Saldanha,-33.01,17.93,South Africa,ZA,ZAF,Western Cape,NA,68284,1710078862,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710078862,Saldanha,Saldanha
Middelburg,Middelburg,-31.5,25.01,South Africa,ZA,ZAF,Eastern Cape,NA,18164,1710010705,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710010705,Middelburg,Middelburg
Port St. Johns,Port St. Johns,-31.6279,29.5283,South Africa,ZA,ZAF,Eastern Cape,NA,5939,1710506018,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710506018,Port St. Johns,Port St. Johns
Volksrust,Volksrust,-27.3596,29.89,South Africa,ZA,ZAF,Mpumalanga,NA,43378,1710664906,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710664906,Volksrust,Volksrust
Ulundi,Ulundi,-28.3296,31.41,South Africa,ZA,ZAF,KwaZulu-Natal,NA,20753,1710823263,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710823263,Ulundi,Ulundi
Beaufort West,Beaufort West,-32.3496,22.57,South Africa,ZA,ZAF,Western Cape,NA,44737,1710940488,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710940488,Beaufort West,Beaufort West
Komatipoort,Komatipoort,-25.4096,31.94,South Africa,ZA,ZAF,Mpumalanga,NA,20508,1710137353,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710137353,Komatipoort,Komatipoort
Nelspruit,Nelspruit,-25.4745,30.9703,South Africa,ZA,ZAF,Mpumalanga,admin,NA,1710114438,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710114438,Nelspruit,Nelspruit
Standerton,Standerton,-26.9395,29.24,South Africa,ZA,ZAF,Mpumalanga,NA,74021,1710222465,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710222465,Standerton,Standerton
Johannesburg,Johannesburg,-26.17,28.03,South Africa,ZA,ZAF,Gauteng,admin,3435000,1710550792,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710550792,Johannesburg,Johannesburg
Kuruman,Kuruman,-27.4496,23.42,South Africa,ZA,ZAF,Northern Cape,NA,10006,1710332978,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710332978,Kuruman,Kuruman
Paarl,Paarl,-33.6996,18.96,South Africa,ZA,ZAF,Western Cape,NA,187865,1710440011,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710440011,Paarl,Paarl
Worcester,Worcester,-33.64,19.4399,South Africa,ZA,ZAF,Western Cape,NA,127597,1710498245,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710498245,Worcester,Worcester
Colesberg,Colesberg,-30.7195,25.1,South Africa,ZA,ZAF,Northern Cape,NA,12423,1710885210,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710885210,Colesberg,Colesberg
Umtata,Umtata,-31.58,28.79,South Africa,ZA,ZAF,Eastern Cape,NA,137772,1710651314,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710651314,Umtata,Umtata
Aliwal North,Aliwal North,-30.6896,26.71,South Africa,ZA,ZAF,Eastern Cape,NA,44436,1710445896,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710445896,Aliwal North,Aliwal North
Middelburg,Middelburg,-25.7596,29.47,South Africa,ZA,ZAF,Mpumalanga,NA,154706,1710495632,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710495632,Middelburg,Middelburg
Springs,Springs,-26.2696,28.43,South Africa,ZA,ZAF,Gauteng,NA,236083,1710058382,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710058382,Springs,Springs
Benoni,Benoni,-26.1496,28.3299,South Africa,ZA,ZAF,Gauteng,NA,2986000,1710880986,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710880986,Benoni,Benoni
Port Shepstone,Port Shepstone,-30.7195,30.46,South Africa,ZA,ZAF,KwaZulu-Natal,NA,52793,1710443227,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710443227,Port Shepstone,Port Shepstone
Oudtshoorn,Oudtshoorn,-33.58,22.19,South Africa,ZA,ZAF,Western Cape,NA,76708,1710502855,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710502855,Oudtshoorn,Oudtshoorn
Port Elizabeth,Port Elizabeth,-33.97,25.6,South Africa,ZA,ZAF,Eastern Cape,NA,1021000,1710918997,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710918997,Port Elizabeth,Port Elizabeth
Port Alfred,Port Alfred,-33.5995,26.88,South Africa,ZA,ZAF,Eastern Cape,NA,17959,1710920478,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710920478,Port Alfred,Port Alfred
East London,East London,-32.97,27.87,South Africa,ZA,ZAF,Eastern Cape,NA,338627,1710178149,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710178149,East London,East London
Mossel Bay,Mossel Bay,-34.17,22.13,South Africa,ZA,ZAF,Western Cape,NA,16743,1710597106,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710597106,Mossel Bay,Mossel Bay
Vryburg,Vryburg,-26.96,24.73,South Africa,ZA,ZAF,North West,NA,49588,1710969597,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710969597,Vryburg,Vryburg
Uitenhage,Uitenhage,-33.7596,25.39,South Africa,ZA,ZAF,Eastern Cape,NA,228912,1710276157,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710276157,Uitenhage,Uitenhage
Bhisho,Bhisho,-32.87,27.39,South Africa,ZA,ZAF,Eastern Cape,admin,160997,1710672530,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710672530,Bhisho,Bhisho
Knysna,Knysna,-34.0329,23.0333,South Africa,ZA,ZAF,Western Cape,NA,63106,1710311704,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710311704,Knysna,Knysna
Queenstown,Queenstown,-31.8996,26.88,South Africa,ZA,ZAF,Eastern Cape,NA,105309,1710110028,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710110028,Queenstown,Queenstown
Cradock,Cradock,-32.1995,25.61,South Africa,ZA,ZAF,Eastern Cape,NA,32898,1710933404,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710933404,Cradock,Cradock
Bredasdorp,Bredasdorp,-34.5295,20.03,South Africa,ZA,ZAF,Western Cape,NA,14936,1710282172,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710282172,Bredasdorp,Bredasdorp
Swellendam,Swellendam,-34.0196,20.43,South Africa,ZA,ZAF,Western Cape,NA,13674,1710416218,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710416218,Swellendam,Swellendam
Ladysmith,Ladysmith,-28.5495,29.78,South Africa,ZA,ZAF,KwaZulu-Natal,NA,47375,1710998347,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710998347,Ladysmith,Ladysmith
George,George,-33.95,22.45,South Africa,ZA,ZAF,Western Cape,NA,174582,1710164136,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710164136,George,George
Grahamstown,Grahamstown,-33.2996,26.52,South Africa,ZA,ZAF,Eastern Cape,NA,91548,1710671857,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710671857,Grahamstown,Grahamstown
Mmabatho,Mmabatho,-25.83,25.61,South Africa,ZA,ZAF,North West,NA,104428,1710524815,NA,NA,NA,NA,NA,NA,"c(NA, NA)",city,city1710524815,Mmabatho,Mmabatho
